t, a, b, c, d, e, f
1.1150e-02, 27, 16, -1, 21, -27, -14
1.1200e-02, 27, 16, -1, 21, -27, -14
1.1250e-02, 26, 15, 0, 18, -29, -19
1.1300e-02, 26, 15, 0, 18, -29, -19
1.1350e-02, 28, 16, -1, 18, -25, -21
1.1400e-02, 28, 16, -1, 18, -25, -21
1.1450e-02, 26, 15, 2, 19, -27, -24
1.1500e-02, 26, 15, 2, 19, -27, -24
1.1550e-02, 24, 14, 3, 18, -27, -24
1.1600e-02, 24, 14, 3, 18, -27, -24
1.1650e-02, 23, 14, 3, 19, -24, -27
1.1700e-02, 23, 14, 3, 19, -24, -27
1.1750e-02, 23, 15, 3, 18, -25, -31
1.1800e-02, 23, 15, 3, 18, -25, -31
1.1850e-02, 20, 13, 5, 19, -22, -32
1.1900e-02, 20, 13, 5, 19, -22, -32
1.1950e-02, 21, 12, 5, 19, -23, -31
1.2000e-02, 21, 12, 5, 19, -23, -31
1.2050e-02, 19, 9, 5, 15, -21, -30
1.2100e-02, 19, 9, 5, 15, -21, -30
1.2150e-02, 18, 10, 6, 15, -21, -30
1.2200e-02, 18, 10, 6, 15, -21, -30
1.2250e-02, 17, 7, 9, 17, -22, -30
1.2300e-02, 17, 7, 9, 17, -22, -30
1.2350e-02, 16, 6, 9, 17, -23, -30
1.2400e-02, 16, 6, 9, 17, -23, -30
1.2450e-02, 17, 5, 9, 17, -22, -29
1.2500e-02, 17, 5, 9, 17, -22, -29
1.2550e-02, 15, 1, 10, 18, -23, -27
1.2600e-02, 15, 1, 10, 18, -23, -27
1.2650e-02, 15, 1, 10, 15, -21, -27
1.2700e-02, 15, 1, 10, 15, -21, -27
1.2750e-02, 13, -4, 10, 17, -24, -21
1.2800e-02, 13, -4, 10, 17, -24, -21
1.2850e-02, 14, -5, 11, 13, -19, -22
1.2900e-02, 14, -5, 11, 13, -19, -22
1.2950e-02, 12, -7, 10, 16, -21, -23
1.3000e-02, 12, -7, 10, 16, -21, -23
1.3050e-02, 13, -9, 13, 14, -20, -20
1.3100e-02, 13, -9, 13, 14, -20, -20
1.3150e-02, 10, -11, 11, 14, -21, -19
1.3200e-02, 10, -11, 11, 14, -21, -19
1.3250e-02, 10, -14, 10, 12, -22, -18
1.3300e-02, 10, -14, 10, 12, -22, -18
1.3350e-02, 10, -14, 11, 12, -20, -17
1.3400e-02, 10, -14, 11, 12, -20, -17
1.3450e-02, 13, -16, 12, 12, -21, -14
1.3500e-02, 13, -16, 12, 12, -21, -14
1.3550e-02, 13, -17, 12, 10, -20, -16
1.3600e-02, 13, -17, 12, 10, -20, -16
1.3650e-02, 14, -16, 10, 10, -21, -18
1.3700e-02, 14, -16, 10, 10, -21, -18
1.3750e-02, 13, -16, 11, 9, -20, -15
1.3800e-02, 13, -16, 11, 9, -20, -15
1.3850e-02, 16, -15, 10, 9, -22, -17
1.3900e-02, 16, -15, 10, 9, -22, -17
1.3950e-02, 18, -13, 9, 6, -18, -15
1.4000e-02, 18, -13, 9, 6, -18, -15
1.4050e-02, 19, -10, 8, 7, -19, -16
1.4100e-02, 19, -10, 8, 7, -19, -16
